date,close
05/01/12 00:00,582.13
04/30/12 00:00,583.98
04/27/12 00:00,603.0
04/26/12 00:00,607.7
04/25/12 00:00,610.0
04/24/12 00:00,560.28
04/23/12 00:00,571.7
04/20/12 00:00,572.98
04/19/12 00:00,587.44
04/18/12 00:00,608.34
04/17/12 00:00,609.7
04/16/12 00:00,580.13
04/13/12 00:00,605.23
04/12/12 00:00,622.77
04/11/12 00:00,626.2
04/10/12 00:00,628.44
04/09/12 00:00,636.23
04/05/12 00:00,633.68
04/04/12 00:00,624.31
04/03/12 00:00,629.32
04/02/12 00:00,618.63
03/30/12 00:00,599.55
03/29/12 00:00,609.86
03/28/12 00:00,617.62
03/27/12 00:00,614.48
03/26/12 00:00,606.98
03/23/12 00:00,596.05
03/22/12 00:00,599.34
03/21/12 00:00,602.5
03/20/12 00:00,605.96
03/19/12 00:00,601.1
03/16/12 00:00,585.57
03/15/12 00:00,585.56
03/14/12 00:00,589.58
03/13/12 00:00,568.1
03/12/12 00:00,552.0
03/09/12 00:00,545.17
03/08/12 00:00,541.99
03/07/12 00:00,530.69
03/06/12 00:00,530.26
03/05/12 00:00,533.16
03/02/12 00:00,545.18
03/01/12 00:00,544.47
02/29/12 00:00,542.44
02/28/12 00:00,535.41
02/27/12 00:00,525.76
02/24/12 00:00,522.41
02/23/12 00:00,516.39
02/22/12 00:00,513.04
02/21/12 00:00,514.85
02/17/12 00:00,502.12
02/16/12 00:00,502.21
02/15/12 00:00,497.67
02/14/12 00:00,509.46
02/13/12 00:00,502.6
02/10/12 00:00,493.42
02/09/12 00:00,493.17
02/08/12 00:00,476.68
02/07/12 00:00,468.83
02/06/12 00:00,463.97
02/03/12 00:00,459.68
02/02/12 00:00,455.12
02/01/12 00:00,456.19
01/31/12 00:00,456.48
01/30/12 00:00,453.01
01/27/12 00:00,447.28
01/26/12 00:00,444.63
01/25/12 00:00,446.66
01/24/12 00:00,420.41
01/23/12 00:00,427.41
01/20/12 00:00,420.3
01/19/12 00:00,427.75
01/18/12 00:00,429.11
01/17/12 00:00,424.7
01/13/12 00:00,419.81
01/12/12 00:00,421.39
01/11/12 00:00,422.55
01/10/12 00:00,423.24
01/09/12 00:00,421.73
01/06/12 00:00,422.4
01/05/12 00:00,418.03
01/04/12 00:00,413.44
01/03/12 00:00,411.23
12/30/11 00:00,405.0
12/29/11 00:00,405.12
12/28/11 00:00,402.64
12/27/11 00:00,406.53
12/23/11 00:00,403.43
12/22/11 00:00,398.55
12/21/11 00:00,396.44
12/20/11 00:00,395.95
12/19/11 00:00,382.21
12/16/11 00:00,381.02
12/15/11 00:00,378.94
12/14/11 00:00,380.19
12/13/11 00:00,388.81
12/12/11 00:00,391.84
12/09/11 00:00,393.62
12/08/11 00:00,390.66
12/07/11 00:00,389.09
12/06/11 00:00,390.95
12/05/11 00:00,393.01
12/02/11 00:00,389.7
12/01/11 00:00,387.93
11/30/11 00:00,382.2
11/29/11 00:00,373.2
11/28/11 00:00,376.12
11/25/11 00:00,363.57
11/23/11 00:00,366.99
11/22/11 00:00,376.51
11/21/11 00:00,369.01
11/18/11 00:00,374.94
11/17/11 00:00,377.41
11/16/11 00:00,384.77
11/15/11 00:00,388.83
11/14/11 00:00,379.26
11/11/11 00:00,384.62
11/10/11 00:00,385.22
11/09/11 00:00,395.28
11/08/11 00:00,406.23
11/07/11 00:00,399.73
11/04/11 00:00,400.24
11/03/11 00:00,403.07
11/02/11 00:00,397.41
11/01/11 00:00,396.51
10/31/11 00:00,404.78
10/28/11 00:00,404.95
10/27/11 00:00,404.69
10/26/11 00:00,400.6
10/25/11 00:00,397.77
10/24/11 00:00,405.77
10/21/11 00:00,392.87
10/20/11 00:00,395.31
10/19/11 00:00,398.62
10/18/11 00:00,422.24
10/17/11 00:00,419.99
10/14/11 00:00,422.0
10/13/11 00:00,408.43
10/12/11 00:00,402.19
10/11/11 00:00,400.29
10/10/11 00:00,388.81
10/07/11 00:00,369.8
10/06/11 00:00,377.37
10/05/11 00:00,378.25
10/04/11 00:00,372.5
10/03/11 00:00,374.6
09/30/11 00:00,381.32
09/29/11 00:00,390.57
09/28/11 00:00,397.01
09/27/11 00:00,399.26
09/26/11 00:00,403.17
09/23/11 00:00,404.3
09/22/11 00:00,401.82
09/21/11 00:00,412.14
09/20/11 00:00,413.45
09/19/11 00:00,411.63
09/16/11 00:00,400.5
09/15/11 00:00,392.96
09/14/11 00:00,389.3
09/13/11 00:00,384.62
09/12/11 00:00,379.94
09/09/11 00:00,377.48
09/08/11 00:00,384.14
09/07/11 00:00,383.93
09/06/11 00:00,379.74
09/02/11 00:00,374.05
09/01/11 00:00,381.03
08/31/11 00:00,384.83
08/30/11 00:00,389.99
08/29/11 00:00,389.97
08/26/11 00:00,383.58
08/25/11 00:00,373.72
08/24/11 00:00,376.18
08/23/11 00:00,373.6
08/22/11 00:00,356.44
08/19/11 00:00,356.03
08/18/11 00:00,366.05
08/17/11 00:00,380.44
08/16/11 00:00,380.48
08/15/11 00:00,383.41
08/12/11 00:00,376.99
08/11/11 00:00,373.7
08/10/11 00:00,363.69
08/09/11 00:00,374.01
08/08/11 00:00,353.21
08/05/11 00:00,373.62
08/04/11 00:00,377.37
08/03/11 00:00,392.57
08/02/11 00:00,388.91
08/01/11 00:00,396.75
