date,sensor,ambient
9/6/14 20:33,50.5,36.25
9/6/14 20:43,50.5,36.25
9/6/14 20:53,50.75,36.25
9/6/14 21:03,50.75,36.25
9/6/14 21:13,50.75,36.25
9/6/14 21:23,50.75,36.25
9/6/14 21:33,50.75,36.25
9/6/14 21:43,50.5,36.5
9/6/14 21:53,50.5,36.5
9/6/14 22:03,50.75,36.5
9/6/14 22:13,50.75,36.5
9/6/14 22:23,50.75,36.5
9/6/14 22:33,50.75,36.5
9/6/14 22:43,50.75,36.5
9/6/14 22:53,50.75,36.5
9/6/14 23:03,50.75,36.5
9/6/14 23:13,50.75,36.5
9/6/14 23:23,50.75,36.25
9/6/14 23:33,51,36.25
9/6/14 23:43,51,36.25
9/6/14 23:53,51,36.25
9/7/14 0:03,51,36.25
9/7/14 0:13,51,36.25
9/7/14 0:23,50.75,36.25
9/7/14 0:33,51,36
9/7/14 0:43,50.75,36
9/7/14 0:53,50.75,36
9/7/14 1:03,50.75,36
9/7/14 1:13,50.75,36
9/7/14 1:23,50.75,36
9/7/14 1:33,51,36
9/7/14 1:43,51,36
9/7/14 1:53,50.75,36
9/7/14 2:03,51,36
9/7/14 2:13,50.75,36
9/7/14 2:23,51,35.75
9/7/14 2:33,51,35.75
9/7/14 2:43,51,35.75
9/7/14 2:53,51,35.75
9/7/14 3:03,50.75,35.75
9/7/14 3:13,51,35.75
9/7/14 3:23,51,35.75
9/7/14 3:33,51,35.75
9/7/14 3:43,51,35.75
9/7/14 3:53,50.25,35.5
9/7/14 4:03,50.25,35.5
9/7/14 4:13,50.25,35.5
9/7/14 4:23,50.25,35.5
9/7/14 4:33,50.5,35.5
9/7/14 4:43,50.25,35.5
9/7/14 4:53,50.25,35.5
9/7/14 5:03,50.25,35.5
9/7/14 5:13,50.25,35.5
9/7/14 5:23,50.25,35.5
9/7/14 5:33,50.25,35.5
9/7/14 5:43,50.25,35.5
9/7/14 5:53,50.25,35.25
9/7/14 6:03,50.25,35.25
9/7/14 6:13,50.25,35.25
9/7/14 6:23,50.25,35.25
9/7/14 6:33,50.25,35.25
9/7/14 6:43,50.25,35.25
9/7/14 6:53,50.25,35.25
9/7/14 7:03,50.25,35.25
9/7/14 7:13,50.25,35.25
9/7/14 7:23,50.25,35.25
9/7/14 7:33,50.25,35
9/7/14 7:43,50.25,35
